zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
342Bf,13999,2.72845525647565,0,56,38195.6451354027,67.3122631022999,67.3074547400525,8.20440510349775,8.20411206286533
341Eb,100852,0.148965437973343,0,16.1127529144287,15023.4623504877,1.3363706202263,1.33635736941699,1.15601497404934,1.15600924279047
M341Ai,214713,1.3832364393672,0,45.7418937683105,296998.84560585,15.9928520179954,15.9927775332086,3.99910640243485,3.99909708974521
341As,121606,0.026879558468654,0,15.0898485183716,3268.71558713913,0.272455328770267,0.272453088294231,0.52197253641381,0.521970390246641
341Ar,43817,0.067101454303312,0,11.9046192169189,2940.18442320824,0.560363719709529,0.56035093098096,0.748574458360375,0.748565916256518
342Fc,126718,0.70459607303793,0,58.7726974487305,89285.0051832199,14.0230201658515,14.0229095026452,3.74473232232311,3.74471754644396
331Hf,227763,0.188537469096567,0,70.7017822265625,42941.8595738411,5.6924925698639,5.6924675768116,2.38589450099201,2.38588926331706
341Fo,287172,1.9028527224153,0,42.863826751709,546446.022001445,18.1296796451657,18.1296165133853,4.25789615246376,4.25788873896269
M331Dy,26595,11.5133999031499,0,56.0141906738281,306198.870424271,90.5700394229486,90.5666338941114,9.51682927360518,9.5166503505231
M331Ej,14743,5.02318802664529,0,37.2920074462891,74056.8610768318,39.5978061421813,39.5951202705037,6.29267877316023,6.2924653571159
M341Ac,15456,8.69089059238596,0,47.094165802002,134326.404995918,84.3366626689454,84.3312061043318,9.18349947835494,9.18320238829199
M331Eg,10273,7.80694440252929,0,27.1601886749268,80200.7398471832,46.5506009439958,46.5460695898691,6.8228000809049,6.82246799844962
341Ca,140288,0.927150015297748,0,26.8406391143799,130068.021346092,9.1844520829332,9.1843866143822,3.03058609561471,3.03057529429351
M331Iq,18675,34.5828302661738,0,86.8429260253906,645834.355220795,507.078652444456,507.051499638435,22.5184069695095,22.517804058976
M331Fg,101219,27.873771959366,0,82.4631042480469,2821355.32395506,258.722652676041,258.720096607984,16.0848578693143,16.084778413394
341Au,80306,2.28276342296201,0,45.661792755127,183319.599444389,27.6956533957456,27.6953085192308,5.26266599697773,5.26263323054446
331Fr,116734,0.269355912070244,0,70.2182769775391,31442.993039608,7.16061235278779,7.16055101151316,2.67593205309623,2.67592059140647
342Gd,78168,0.003053290260667,0,5.11686944961548,238.669593095779,0.013087692555213,0.013087525124902,0.114401453466346,0.114400721697468
M331Ec,17987,25.892392393918,0,63.1434555053711,465726.461989403,207.229698238254,207.218177156459,14.3954749222891,14.3950747534169
341Dn,14756,5.37889709735057,0,37.1186981201172,79371.0055685043,39.5068420274836,39.5041646866034,6.28544684389929,6.28523386093178
342Fk,21050,0.001211055859817,0,4.47995615005493,25.4927258491516,0.005150023670049,0.005149779013342,0.071763665388892,0.071761960768519
342Fd,30547,0.011876055990361,0,17.7042694091797,362.77788233757,0.126139603435488,0.126135474074064,0.355161376609969,0.355155563203033
342Ff,61935,0.092333876577544,0,62.0559844970703,5718.69864583015,2.04242975341996,2.04239677643193,1.4291360164169,1.42912447898422
M331Dr,15429,21.0763967216606,0,91.5622940063477,325187.725018501,252.364121776732,252.34776529726,15.8859724844509,15.885457667227
M331Dw,18624,11.3877809710826,0,65.9094161987305,212086.032805443,166.440714528585,166.431777634549,12.9011904306767,12.9008440667481
341Dd,28203,19.9097677733896,0,127,561515.180512905,793.043249749997,793.015130640337,28.1610235920145,28.1605243317723
M331Eb,56028,23.6382537161317,0,78.9876556396484,1324404.07920742,318.432346695382,318.426663245202,17.8446727819644,17.8445135334422
M331Ea,18352,26.0104363967568,0,82.1990966796875,477343.528753281,186.141975248214,186.131832376851,13.6433857692368,13.6430140503062
313Ai,44712,5.16560174321889,0,38.0931739807129,230964.385142803,27.846097182399,27.8454743943962,5.27694013443387,5.27688112376962
331Ie,110444,0.072936668196011,0,63.231273651123,8055.4173822403,2.44164492925481,2.44162282171679,1.56257637549491,1.56256930141251
313At,19371,1.77717600006132,0,16.3617725372314,34425.6762971878,13.4045943122277,13.4039023193356,3.66122852499372,3.66113402094701
M331Gf,17612,15.4577341426537,0,82.1012191772461,272241.613720417,341.620457600321,341.601060572295,18.4829775090574,18.4824527747887
341Be,24926,2.53982085092371,0,29.8534355163574,63307.5745301247,25.5893252150254,25.5882986032459,5.05858925146383,5.05848777830351
331If,194072,0.075272744689115,0,26.5121326446533,14608.3321073055,0.74465585069687,0.744652013688694,0.862934441714358,0.862932218478772
M331Gu,147816,25.3983249821958,0,83.2651290893555,3754278.80556822,422.179589221622,422.176733105984,20.547009252483,20.5469397503858
341Bh,23416,15.8337863139785,0,89.8001174926758,370763.940328121,153.976750743839,153.970175037026,12.408736871408,12.4084719057999
313Ad,57787,0.926897285829846,0,24.2249584197998,53562.6134562492,7.09364309229175,7.09352033729335,2.66338939929777,2.66336635431428
M331Fa,109202,29.0081105943772,0,84.1731109619141,3167743.69312716,374.816074749864,374.81264243109,19.3601672190574,19.3600785750237
M331Fb,40718,18.629745158824,0,87.4558486938477,758565.963376999,260.592523563789,260.58612362952,16.1428784163107,16.1426801873022
331Ja,104104,0.37276516582802,0,48.5443801879883,38806.3448233604,7.04245241107191,7.04238476283158,2.6537619356438,2.65374918988807
M331Fc,36071,3.42456353227276,0,55.4198951721191,123527.431172609,41.2368020535361,41.2356588414806,6.42158874839678,6.42149973460099
313Ab,150761,1.82481158089972,0,29.445484161377,275110.418748021,17.8643435811321,17.8642250866701,4.22662318892187,4.22660917127076
M331Gn,40922,31.6281812580082,0,87.5990371704102,1294288.43344021,343.443314160707,343.434921528036,18.5322236701564,18.5319972352695
322At,33283,0.278514983504808,0,16.4080352783203,9269.81419599056,1.62103242137968,1.62098371686322,1.27319771496012,1.27317858796919
313Ag,9695,9.83360419304119,0,44.148738861084,95336.7926515341,52.683199796543,52.6777657377708,7.25831935068601,7.25794500790484
313Ao,97506,2.18819058540566,0,64.9763565063477,213361.711220562,54.0585702646862,54.0580158519294,7.35245335005168,7.3524156473862
M331Gq,16832,24.7279073861727,0,78.3557586669922,416220.137124062,467.402079019665,467.374310360027,21.6194837824511,21.6188415591592
313Ar,14082,19.9387602570754,0,72.5248565673828,280777.621940136,228.792225836359,228.775978696334,15.1258793409295,15.1253422670806
322Aj,61310,0.1101202462241,0,23.9601001739502,6751.47229599953,1.2167487425479,1.21672889670313,1.10306334475763,1.10305434893442
322Av,193174,0.649643742414233,0,19.8415241241455,125494.280297127,2.93099807274938,2.93098289991001,1.7120157922021,1.71201136091733
313Am,91686,0.230645008144155,0,13.1695652008057,21146.9182167053,0.977568567571187,0.977557905435555,0.988720672167416,0.988715280268063
322Am,171752,0.003853776718014,0,14.6259145736694,661.893858872354,0.020833873547631,0.020833752245558,0.144339438642495,0.144339018444627
322Az,257561,0.613721328656196,0,48.556568145752,158070.679130018,10.5328496011851,10.5328087066024,3.24543519442079,3.24542889409126
331Ia,211151,0.175048503230272,0,38.5578804016113,36961.6665055752,1.4152957945778,1.41528909181156,1.18966205057479,1.18965923348308
M331Dx,16024,18.8231502070286,0,91.6510543823242,301622.158917427,215.505704428585,215.492255495458,14.6801125482261,14.6796544746618
M331Ha,35967,13.1877644584326,0,78.7887878417969,474324.324276447,381.558487938916,381.547879367505,19.5335221590709,19.5332506093457
342Gg,70143,0.970499543065622,0,26.5242958068848,68073.7494492531,8.85600097763705,8.85587472126111,2.97590338849181,2.9758821752988
341De,43536,3.66819731497404,0,55,159698.63830471,28.7308679104523,28.7302079768822,5.36011827392384,5.36005671396135
341Ax,225746,1.10438814851954,0,30.7066955566406,249311.206975698,11.7969322685825,11.7968800110352,3.43466625286686,3.43465864548942
M331Dz,12667,11.951494948004,0,67.1856994628906,151389.586506367,167.286271592906,167.273065129529,12.933919421154,12.9334088750619
M331El,18748,3.67627980657191,0,34.8004035949707,68922.8938136101,36.8716217079992,36.8696550117271,6.07220073021299,6.07203878542678
M331Ib,84020,22.5360315047908,0,83.0703048706055,1893477.36703253,329.945609085659,329.941682096738,18.1644050022471,18.1642969062042
341Df,10707,0.299265301126252,0,52,3204.23357915878,7.32223452886271,7.32155065527264,2.70596277300016,2.70583640585913
M331Eh,24477,5.06080167993987,0,31.0975437164307,123873.242719889,38.4263159970279,38.424746102188,6.19889635314448,6.19876972488799
